Image_Name,Feature_MSE_Error
2024-07-11_14-16-32,    5.87533
2024-07-11_14-14-24,    10.0302
2024-07-10_15-40-03,    7.66143
2024-07-10_15-51-48,    10.9909
2024-07-10_15-52-36,    5.56552
2024-07-10_15-43-56,    0.846072
2024-07-11_14-12-14,    24.468
2024-07-11_14-19-12,    9.1591
2024-07-10_15-44-58,    23.3838
2024-07-11_14-02-35,    3.96138
2024-07-11_14-10-53,    4.11401
2024-07-10_15-40-53,    1.28231
2024-07-10_15-54-07,    12.1446
2024-07-11_14-13-12,    8.98233
2024-07-11_14-05-35,    32.6555
2024-07-11_14-17-18,    10.1493
2024-07-10_15-53-12,    11.2082
2024-07-11_14-06-07,    1.38999
2024-07-10_15-51-45,    9.45386
2024-07-10_15-38-54,    11.2118
2024-07-10_15-51-21,    7.25899
2024-07-11_14-04-22,    8.3656
2024-07-11_14-17-59,    1.95762
2024-07-10_15-52-37,    8.19035
2024-07-10_15-50-55,    11.4825
2024-07-10_15-48-15,    5.03109
2024-07-10_15-43-03,    15.3105
2024-07-11_14-15-08,    16.0521
2024-07-11_14-13-51,    8.30924
2024-07-11_14-18-28,    11.9389
2024-07-10_15-41-46,    1.90529
2024-07-11_14-03-31,    6.84786
