Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-16-32,Model_Inference,0.012069,fp16,428
2024-07-11_14-14-24,Model_Inference,0.011834,fp16,405
2024-07-10_15-40-03,Model_Inference,0.011353,fp16,510
2024-07-10_15-51-48,Model_Inference,0.011403,fp16,316
2024-07-10_15-52-36,Model_Inference,0.011684,fp16,280
2024-07-10_15-43-56,Model_Inference,0.011285,fp16,356
2024-07-11_14-12-14,Model_Inference,0.011226,fp16,470
2024-07-11_14-19-12,Model_Inference,0.011602,fp16,352
2024-07-10_15-44-58,Model_Inference,0.011521,fp16,374
2024-07-11_14-02-35,Model_Inference,0.011502,fp16,582
2024-07-11_14-10-53,Model_Inference,0.011623,fp16,553
2024-07-10_15-40-53,Model_Inference,0.016726,fp16,397
2024-07-10_15-54-07,Model_Inference,0.011515,fp16,291
2024-07-11_14-13-12,Model_Inference,0.011781,fp16,490
2024-07-11_14-05-35,Model_Inference,0.012065,fp16,435
2024-07-11_14-17-18,Model_Inference,0.012335,fp16,402
2024-07-10_15-53-12,Model_Inference,0.018523,fp16,302
2024-07-11_14-06-07,Model_Inference,0.011748,fp16,435
2024-07-10_15-51-45,Model_Inference,0.011433,fp16,284
2024-07-10_15-38-54,Model_Inference,0.011237,fp16,449
2024-07-10_15-51-21,Model_Inference,0.011273,fp16,329
2024-07-11_14-04-22,Model_Inference,0.011336,fp16,540
2024-07-11_14-17-59,Model_Inference,0.011419,fp16,340
2024-07-10_15-52-37,Model_Inference,0.011728,fp16,288
2024-07-10_15-50-55,Model_Inference,0.011313,fp16,320
2024-07-10_15-48-15,Model_Inference,0.011382,fp16,318
2024-07-10_15-43-03,Model_Inference,0.011241,fp16,316
2024-07-11_14-15-08,Model_Inference,0.011361,fp16,400
2024-07-11_14-13-51,Model_Inference,0.011364,fp16,443
2024-07-11_14-18-28,Model_Inference,0.011313,fp16,376
2024-07-10_15-41-46,Model_Inference,0.013325,fp16,403
2024-07-11_14-03-31,Model_Inference,0.011457,fp16,495
