Filename,Operation,Time_s,Mode,keypoints
2024-07-10_15-38-54_EO,Model_Inference,0.269642,fp32,403
2024-07-10_15-50-55_EO,Model_Inference,0.195866,fp32,291
2024-07-11_14-15-08_EO,Model_Inference,0.265863,fp32,365
2024-07-11_14-12-14_EO,Model_Inference,0.199893,fp32,422
2024-07-10_15-52-36_EO,Model_Inference,0.201291,fp32,261
2024-07-10_15-51-48_EO,Model_Inference,0.256323,fp32,282
2024-07-11_14-17-18_EO,Model_Inference,0.225658,fp32,362
2024-07-11_14-10-53_EO,Model_Inference,0.231312,fp32,544
2024-07-10_15-51-21_EO,Model_Inference,0.205851,fp32,286
2024-07-11_14-18-28_EO,Model_Inference,0.192933,fp32,363
2024-07-11_14-17-59_EO,Model_Inference,0.235656,fp32,344
2024-07-11_14-03-31_EO,Model_Inference,0.195608,fp32,421
2024-07-10_15-54-07_EO,Model_Inference,0.207385,fp32,237
2024-07-10_15-43-56_EO,Model_Inference,0.240133,fp32,285
2024-07-10_15-52-37_EO,Model_Inference,0.201523,fp32,264
2024-07-11_14-16-32_EO,Model_Inference,0.288801,fp32,410
2024-07-10_15-41-46_EO,Model_Inference,0.199769,fp32,375
2024-07-10_15-43-03_EO,Model_Inference,0.240532,fp32,261
2024-07-10_15-40-03_EO,Model_Inference,0.191899,fp32,387
2024-07-10_15-51-45_EO,Model_Inference,0.225130,fp32,276
2024-07-10_15-40-53_EO,Model_Inference,0.193143,fp32,370
2024-07-11_14-13-12_EO,Model_Inference,0.217218,fp32,413
2024-07-11_14-06-07_EO,Model_Inference,0.243754,fp32,352
2024-07-11_14-14-24_EO,Model_Inference,0.227128,fp32,348
2024-07-10_15-44-58_EO,Model_Inference,0.195024,fp32,318
2024-07-11_14-02-35_EO,Model_Inference,0.198600,fp32,483
2024-07-10_15-53-12_EO,Model_Inference,0.232415,fp32,271
2024-07-10_15-48-15_EO,Model_Inference,0.386225,fp32,285
2024-07-11_14-05-35_EO,Model_Inference,0.196481,fp32,383
2024-07-11_14-04-22_EO,Model_Inference,0.201853,fp32,484
平均: 0.2262
2024-07-11_14-13-51_EO,Model_Inference,0.195485,fp32,421
平均: 0.2157
2024-07-10_15-38-54_EO,Model_Inference,0.200370,fp32,403
2024-07-10_15-50-55_EO,Model_Inference,0.191174,fp32,291
2024-07-11_14-15-08_EO,Model_Inference,0.199039,fp32,365
2024-07-11_14-12-14_EO,Model_Inference,0.227913,fp32,422
2024-07-10_15-52-36_EO,Model_Inference,0.194607,fp32,261
2024-07-10_15-51-48_EO,Model_Inference,0.202307,fp32,282
2024-07-11_14-17-18_EO,Model_Inference,0.236182,fp32,362
2024-07-11_14-10-53_EO,Model_Inference,0.656381,fp32,544
2024-07-10_15-51-21_EO,Model_Inference,0.206371,fp32,286
2024-07-11_14-19-12_EO,Model_Inference,0.215677,fp32,327
2024-07-11_14-18-28_EO,Model_Inference,0.201320,fp32,363
2024-07-11_14-17-59_EO,Model_Inference,0.194760,fp32,344
2024-07-11_14-03-31_EO,Model_Inference,0.193353,fp32,421
2024-07-10_15-54-07_EO,Model_Inference,0.213316,fp32,237
2024-07-10_15-43-56_EO,Model_Inference,0.240997,fp32,285
2024-07-10_15-52-37_EO,Model_Inference,0.202860,fp32,264
2024-07-11_14-16-32_EO,Model_Inference,0.204651,fp32,410
2024-07-10_15-41-46_EO,Model_Inference,0.195218,fp32,375
2024-07-10_15-43-03_EO,Model_Inference,0.198008,fp32,261
2024-07-10_15-40-03_EO,Model_Inference,0.188672,fp32,387
2024-07-10_15-51-45_EO,Model_Inference,0.198395,fp32,276
2024-07-10_15-40-53_EO,Model_Inference,0.225079,fp32,370
2024-07-11_14-13-12_EO,Model_Inference,0.191509,fp32,413
2024-07-11_14-06-07_EO,Model_Inference,0.255363,fp32,352
2024-07-11_14-14-24_EO,Model_Inference,0.203692,fp32,348
2024-07-10_15-44-58_EO,Model_Inference,0.194829,fp32,318
2024-07-11_14-02-35_EO,Model_Inference,0.268686,fp32,483
2024-07-10_15-53-12_EO,Model_Inference,0.195153,fp32,271
2024-07-10_15-48-15_EO,Model_Inference,0.188791,fp32,285
2024-07-11_14-05-35_EO,Model_Inference,0.194734,fp32,383
2024-07-11_14-04-22_EO,Model_Inference,0.261627,fp32,484
