Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-13-51_EO,Model_Inference,0.688178,fp32,421
2024-07-10_15-38-54_EO,Model_Inference,0.326989,fp32,403
2024-07-10_15-50-55_EO,Model_Inference,0.327053,fp32,291
2024-07-11_14-15-08_EO,Model_Inference,0.324785,fp32,365
2024-07-11_14-12-14_EO,Model_Inference,0.391795,fp32,422
2024-07-10_15-52-36_EO,Model_Inference,0.326790,fp32,261
2024-07-10_15-51-48_EO,Model_Inference,0.325954,fp32,282
2024-07-11_14-17-18_EO,Model_Inference,0.358770,fp32,362
2024-07-11_14-10-53_EO,Model_Inference,0.346594,fp32,544
2024-07-10_15-51-21_EO,Model_Inference,0.335736,fp32,286
2024-07-11_14-19-12_EO,Model_Inference,0.325456,fp32,327
2024-07-11_14-18-28_EO,Model_Inference,0.351592,fp32,363
2024-07-11_14-17-59_EO,Model_Inference,0.326227,fp32,344
2024-07-11_14-03-31_EO,Model_Inference,0.333470,fp32,421
2024-07-10_15-54-07_EO,Model_Inference,0.325581,fp32,237
2024-07-10_15-43-56_EO,Model_Inference,0.339407,fp32,285
2024-07-10_15-52-37_EO,Model_Inference,0.326940,fp32,264
2024-07-11_14-16-32_EO,Model_Inference,0.332580,fp32,410
2024-07-10_15-41-46_EO,Model_Inference,0.323283,fp32,375
2024-07-10_15-43-03_EO,Model_Inference,0.333863,fp32,261
2024-07-10_15-40-03_EO,Model_Inference,0.325197,fp32,387
2024-07-10_15-51-45_EO,Model_Inference,0.326983,fp32,276
2024-07-10_15-40-53_EO,Model_Inference,0.323055,fp32,370
2024-07-11_14-13-12_EO,Model_Inference,0.328390,fp32,413
2024-07-11_14-06-07_EO,Model_Inference,0.324836,fp32,352
2024-07-11_14-14-24_EO,Model_Inference,0.325324,fp32,348
2024-07-10_15-44-58_EO,Model_Inference,0.326940,fp32,318
2024-07-11_14-02-35_EO,Model_Inference,0.343570,fp32,483
2024-07-10_15-53-12_EO,Model_Inference,0.329614,fp32,271
2024-07-10_15-48-15_EO,Model_Inference,0.323737,fp32,285
2024-07-11_14-05-35_EO,Model_Inference,0.332185,fp32,383
2024-07-11_14-04-22_EO,Model_Inference,0.409053,fp32,484
