Filename,Operation,Time_s,Mode,keypoints
2024-07-10_15-38-54_EO,Model_Inference,0.011378,fp32,403
2024-07-10_15-40-03_EO,Model_Inference,0.011319,fp32,387
2024-07-10_15-40-53_EO,Model_Inference,0.011247,fp32,370
2024-07-10_15-41-46_EO,Model_Inference,0.011357,fp32,375
2024-07-10_15-43-03_EO,Model_Inference,0.014923,fp32,261
2024-07-10_15-43-56_EO,Model_Inference,0.011293,fp32,285
2024-07-10_15-44-58_EO,Model_Inference,0.011316,fp32,318
2024-07-10_15-48-15_EO,Model_Inference,0.011354,fp32,285
2024-07-10_15-50-55_EO,Model_Inference,0.011266,fp32,291
2024-07-10_15-51-21_EO,Model_Inference,0.011348,fp32,286
2024-07-10_15-51-45_EO,Model_Inference,0.011407,fp32,276
2024-07-10_15-51-48_EO,Model_Inference,0.011346,fp32,282
2024-07-10_15-52-36_EO,Model_Inference,0.011249,fp32,261
2024-07-10_15-52-37_EO,Model_Inference,0.011294,fp32,264
2024-07-10_15-53-12_EO,Model_Inference,0.011246,fp32,271
2024-07-10_15-54-07_EO,Model_Inference,0.011314,fp32,237
2024-07-11_14-02-35_EO,Model_Inference,0.011301,fp32,483
2024-07-11_14-03-31_EO,Model_Inference,0.011391,fp32,421
2024-07-11_14-04-22_EO,Model_Inference,0.011369,fp32,484
2024-07-11_14-05-35_EO,Model_Inference,0.011379,fp32,383
2024-07-11_14-06-07_EO,Model_Inference,0.011305,fp32,352
2024-07-11_14-10-53_EO,Model_Inference,0.011228,fp32,544
2024-07-11_14-12-14_EO,Model_Inference,0.011250,fp32,422
2024-07-11_14-13-12_EO,Model_Inference,0.011344,fp32,413
2024-07-11_14-13-51_EO,Model_Inference,0.012101,fp32,421
2024-07-11_14-14-24_EO,Model_Inference,0.011393,fp32,348
2024-07-11_14-15-08_EO,Model_Inference,0.011404,fp32,365
2024-07-11_14-16-32_EO,Model_Inference,0.011309,fp32,410
2024-07-11_14-17-18_EO,Model_Inference,0.011265,fp32,362
2024-07-11_14-17-59_EO,Model_Inference,0.011318,fp32,344
2024-07-11_14-18-28_EO,Model_Inference,0.011302,fp32,363
2024-07-11_14-19-12_EO,Model_Inference,0.011404,fp32,327
N/A,Average_Time_s,0.011827,fp32,N/A
Filename,Operation,Time_s,Mode,keypoints
N/A,Model_Inference,0.566067,fp32,273
N/A,Model_Inference,1.124252,fp32,273
N/A,Model_Inference,0.013597,fp32,273
N/A,Model_Inference,0.013222,fp32,273
N/A,Model_Inference,0.013374,fp32,273
N/A,Model_Inference,0.013300,fp32,273
N/A,Model_Inference,0.013023,fp32,273
N/A,Model_Inference,0.012133,fp32,273
N/A,Model_Inference,0.012096,fp32,273

2024-07-11_14-13-51_EO,Model_Inference,0.012101,fp32,421
N/A,Model_Inference,0.181633,fp32,273
N/A,Model_Inference,1.118336,fp32,273
N/A,Model_Inference,0.012029,fp32,273
N/A,Model_Inference,0.012042,fp32,273
N/A,Model_Inference,0.011993,fp32,273
N/A,Model_Inference,0.012157,fp32,273
N/A,Model_Inference,0.012009,fp32,273
N/A,Model_Inference,0.012138,fp32,273
N/A,Model_Inference,0.012157,fp32,273
