Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-16-32,Model_Inference,0.011758,fp32,423
2024-07-11_14-14-24,Model_Inference,0.011639,fp32,403
2024-07-10_15-40-03,Model_Inference,0.011697,fp32,507
2024-07-10_15-51-48,Model_Inference,0.011868,fp32,307
2024-07-10_15-52-36,Model_Inference,0.011804,fp32,278
2024-07-10_15-43-56,Model_Inference,0.011689,fp32,355
2024-07-11_14-12-14,Model_Inference,0.011753,fp32,468
2024-07-11_14-19-12,Model_Inference,0.011596,fp32,343
2024-07-10_15-44-58,Model_Inference,0.011790,fp32,359
2024-07-11_14-02-35,Model_Inference,0.011752,fp32,576
2024-07-11_14-10-53,Model_Inference,0.011683,fp32,548
2024-07-10_15-40-53,Model_Inference,0.011660,fp32,392
2024-07-10_15-54-07,Model_Inference,0.011940,fp32,286
2024-07-11_14-13-12,Model_Inference,0.011696,fp32,485
2024-07-11_14-05-35,Model_Inference,0.011626,fp32,427
2024-07-11_14-17-18,Model_Inference,0.011715,fp32,400
2024-07-10_15-53-12,Model_Inference,0.011821,fp32,295
2024-07-11_14-06-07,Model_Inference,0.011610,fp32,429
2024-07-10_15-51-45,Model_Inference,0.011972,fp32,280
2024-07-10_15-38-54,Model_Inference,0.011668,fp32,443
2024-07-10_15-51-21,Model_Inference,0.011651,fp32,319
2024-07-11_14-04-22,Model_Inference,0.011735,fp32,531
2024-07-11_14-17-59,Model_Inference,0.011965,fp32,334
2024-07-10_15-52-37,Model_Inference,0.011617,fp32,285
2024-07-10_15-50-55,Model_Inference,0.011674,fp32,313
2024-07-10_15-48-15,Model_Inference,0.011665,fp32,316
2024-07-10_15-43-03,Model_Inference,0.011725,fp32,312
2024-07-11_14-15-08,Model_Inference,0.011709,fp32,392
2024-07-11_14-13-51,Model_Inference,0.011666,fp32,437
2024-07-11_14-18-28,Model_Inference,0.011779,fp32,374
2024-07-10_15-41-46,Model_Inference,0.011676,fp32,397
2024-07-11_14-03-31,Model_Inference,0.011775,fp32,487
