Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-16-32,Model_Inference,0.012024,fp16,429
2024-07-11_14-14-24,Model_Inference,0.011811,fp16,406
2024-07-10_15-40-03,Model_Inference,0.011808,fp16,511
2024-07-10_15-51-48,Model_Inference,0.012355,fp16,317
2024-07-10_15-52-36,Model_Inference,0.012104,fp16,281
2024-07-10_15-43-56,Model_Inference,0.012063,fp16,357
2024-07-11_14-12-14,Model_Inference,0.012182,fp16,471
2024-07-11_14-19-12,Model_Inference,0.012427,fp16,353
2024-07-10_15-44-58,Model_Inference,0.012259,fp16,375
2024-07-11_14-02-35,Model_Inference,0.012028,fp16,583
2024-07-11_14-10-53,Model_Inference,0.012198,fp16,554
2024-07-10_15-40-53,Model_Inference,0.012284,fp16,398
2024-07-10_15-54-07,Model_Inference,0.012355,fp16,292
2024-07-11_14-13-12,Model_Inference,0.012161,fp16,491
2024-07-11_14-05-35,Model_Inference,0.012048,fp16,436
2024-07-11_14-17-18,Model_Inference,0.012139,fp16,403
2024-07-10_15-53-12,Model_Inference,0.012032,fp16,303
2024-07-11_14-06-07,Model_Inference,0.012102,fp16,436
2024-07-10_15-51-45,Model_Inference,0.012399,fp16,285
2024-07-10_15-38-54,Model_Inference,0.012076,fp16,450
2024-07-10_15-51-21,Model_Inference,0.012100,fp16,330
2024-07-11_14-04-22,Model_Inference,0.012082,fp16,541
2024-07-11_14-17-59,Model_Inference,0.012047,fp16,341
2024-07-10_15-52-37,Model_Inference,0.012093,fp16,289
2024-07-10_15-50-55,Model_Inference,0.012299,fp16,321
2024-07-10_15-48-15,Model_Inference,0.012054,fp16,319
2024-07-10_15-43-03,Model_Inference,0.012037,fp16,317
2024-07-11_14-15-08,Model_Inference,0.012201,fp16,401
2024-07-11_14-13-51,Model_Inference,0.012131,fp16,444
2024-07-11_14-18-28,Model_Inference,0.012189,fp16,377
2024-07-10_15-41-46,Model_Inference,0.012513,fp16,404
2024-07-11_14-03-31,Model_Inference,0.012061,fp16,496
2024-07-11_14-16-32,Model_Inference,0.011831,fp16,429
2024-07-11_14-14-24,Model_Inference,0.012128,fp16,406
2024-07-10_15-40-03,Model_Inference,0.012083,fp16,511
2024-07-10_15-51-48,Model_Inference,0.012308,fp16,317
2024-07-10_15-52-36,Model_Inference,0.012282,fp16,281
