Image_Name,Image_Size,Feature_Count,Feature_MSE_Error
2024-07-10_15-38-54,320*240,211,19.254          19.180071            
2024-07-10_15-40-03,320*240,210,1.49951e-10     5.296244                 
2024-07-10_15-40-53,320*240,192,0.994351        0.994337              
2024-07-10_15-41-46,320*240,221,5.42863         5.428631             
2024-07-10_15-43-03,320*240,78,13.6208          8.462786   #調整一下         
2024-07-10_15-43-56,320*240,156,1.25953e-10     0.000000                 
2024-07-10_15-44-58,320*240,98,14.4424          20.686945  #調整一下          
2024-07-10_15-48-15,320*240,102,3.66404         3.664041             
2024-07-10_15-50-55,320*240,96,13.9819          28.655743  #調整一下          
2024-07-10_15-51-21,320*240,55,27.839           30.157851           
2024-07-10_15-51-45,320*240,70,17.9057          17.905717            
2024-07-10_15-51-48,320*240,77,11.2849          11.284883            
2024-07-10_15-52-36,320*240,79,1.58182          3.045771            
2024-07-10_15-52-37,320*240,77,2.47139          4.752636            
2024-07-10_15-53-12,320*240,110,10.3577         7.839683             
2024-07-10_15-54-07,320*240,103,7.94835         15.357635   #調整一下          
2024-07-11_14-02-35,320*240,343,4.04578         5.223892             
2024-07-11_14-03-31,320*240,209,11.4671         5.796958    #調整一下         
2024-07-11_14-04-22,320*240,287,4.50057         4.500574             
2024-07-11_14-05-35,320*240,172,9.16421         9.469215             
2024-07-11_14-06-07,320*240,180,0.905233        1.259996              
2024-07-11_14-10-53,320*240,389,3.21506         3.222961             
2024-07-11_14-12-14,320*240,218,30.5428         30.542802             
2024-07-11_14-13-12,320*240,235,12.1559         10.268328             
2024-07-11_14-13-51,320*240,203,6.68029         6.680310             
2024-07-11_14-14-24,320*240,176,15.5581         15.420312             
2024-07-11_14-15-08,320*240,126,21.6555         22.100895             
2024-07-11_14-16-32,320*240,202,1.0972e-10      0.000000                
2024-07-11_14-17-18,320*240,198,1.82286         6.866261             
2024-07-11_14-17-59,320*240,176,5.09772e-11     3.249439                 
2024-07-11_14-18-28,320*240,147,10.5487         9.870236             
2024-07-11_14-19-12,320*240,134,6.40595         6.405949             
