Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-13-51,0.3661,421
2024-07-10_15-38-54,0.346012,403
2024-07-10_15-50-55,0.344852,291
2024-07-11_14-15-08,0.345253,365
2024-07-11_14-12-14,0.346593,422
2024-07-10_15-52-36,0.354199,261
2024-07-10_15-51-48,0.348597,282
2024-07-11_14-17-18,0.348902,362
2024-07-11_14-10-53,0.348044,544
2024-07-10_15-51-21,0.347265,286
2024-07-11_14-19-12,0.348861,327
2024-07-11_14-18-28,0.353179,363
2024-07-11_14-17-59,0.347427,344
2024-07-11_14-03-31,0.345362,421
2024-07-10_15-54-07,0.346479,237
2024-07-10_15-43-56,0.349302,285
2024-07-10_15-52-37,0.367882,264
2024-07-11_14-16-32,0.352762,410
2024-07-10_15-41-46,0.355856,375
2024-07-10_15-43-03,0.355014,261
2024-07-10_15-40-03,0.349655,387
2024-07-10_15-51-45,0.354523,276
2024-07-10_15-40-53,0.353458,370
2024-07-11_14-13-12,0.34805,413
2024-07-11_14-06-07,0.345602,352
2024-07-11_14-14-24,0.345718,348
2024-07-10_15-44-58,0.350361,318
2024-07-11_14-02-35,0.360583,483
2024-07-10_15-53-12,0.350962,271
2024-07-10_15-48-15,0.34932,285
2024-07-11_14-05-35,0.345565,383
2024-07-11_14-04-22,0.345652,484
