Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-13-51,0.013399,421
2024-07-10_15-38-54,0.012885,403
2024-07-10_15-50-55,0.012703,291
2024-07-11_14-15-08,0.012727,365
2024-07-11_14-12-14,0.012769,422
2024-07-10_15-52-36,0.012818,261
2024-07-10_15-51-48,0.01294,282
2024-07-11_14-17-18,0.012819,362
2024-07-11_14-10-53,0.013022,544
2024-07-10_15-51-21,0.01293,286
2024-07-11_14-19-12,0.012703,327
2024-07-11_14-18-28,0.012801,363
2024-07-11_14-17-59,0.012681,344
2024-07-11_14-03-31,0.013048,421
2024-07-10_15-54-07,0.01291,237
2024-07-10_15-43-56,0.012757,285
2024-07-10_15-52-37,0.013049,264
2024-07-11_14-16-32,0.012826,410
2024-07-10_15-41-46,0.012995,375
2024-07-10_15-43-03,0.012961,261
2024-07-10_15-40-03,0.012984,387
2024-07-10_15-51-45,0.012974,276
2024-07-10_15-40-53,0.013058,370
2024-07-11_14-13-12,0.012951,413
2024-07-11_14-06-07,0.012837,352
2024-07-11_14-14-24,0.012967,348
2024-07-10_15-44-58,0.012992,318
2024-07-11_14-02-35,0.013237,483
2024-07-10_15-53-12,0.013031,271
2024-07-10_15-48-15,0.013131,285
2024-07-11_14-05-35,0.013249,383
2024-07-11_14-04-22,0.013099,484
