Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-16-32,1.25093,422
2024-07-11_14-14-24,0.01146,402
2024-07-10_15-40-03,0.011344,505
2024-07-10_15-51-48,0.011617,305
2024-07-10_15-52-36,0.011412,277
2024-07-10_15-43-56,0.011406,355
2024-07-11_14-12-14,0.011417,467
2024-07-11_14-19-12,0.011412,343
2024-07-10_15-44-58,0.011423,360
2024-07-11_14-02-35,0.011415,575
2024-07-11_14-10-53,0.011436,547
2024-07-10_15-40-53,0.011391,391
2024-07-10_15-54-07,0.011396,285
2024-07-11_14-13-12,0.011417,485
2024-07-11_14-05-35,0.011397,426
2024-07-11_14-17-18,0.011389,399
2024-07-10_15-53-12,0.011392,295
2024-07-11_14-06-07,0.011411,428
2024-07-10_15-51-45,0.011437,278
2024-07-10_15-38-54,0.011438,442
2024-07-10_15-51-21,0.011397,318
2024-07-11_14-04-22,0.011399,530
2024-07-11_14-17-59,0.011397,334
2024-07-10_15-52-37,0.011404,284
2024-07-10_15-50-55,0.0114,313
2024-07-10_15-48-15,0.011397,316
2024-07-10_15-43-03,0.011404,310
2024-07-11_14-15-08,0.011398,392
2024-07-11_14-13-51,0.011402,435
2024-07-11_14-18-28,0.011402,373
2024-07-10_15-41-46,0.01139,396
2024-07-11_14-03-31,0.011398,486

2024-07-11_14-16-32,0.014114,422
2024-07-11_14-14-24,0.011447,402
2024-07-10_15-40-03,0.011413,505
2024-07-10_15-51-48,0.011414,305
2024-07-10_15-52-36,0.011424,277
2024-07-10_15-43-56,0.011415,355
2024-07-11_14-12-14,0.011413,467
2024-07-11_14-19-12,0.011417,343
2024-07-10_15-44-58,0.011407,360
2024-07-11_14-02-35,0.011407,575
2024-07-11_14-10-53,0.011418,547
2024-07-10_15-40-53,0.011412,391
2024-07-10_15-54-07,0.011411,285
2024-07-11_14-13-12,0.0114,485
2024-07-11_14-05-35,0.011429,426
2024-07-11_14-17-18,0.011423,399
2024-07-10_15-53-12,0.011428,295
2024-07-11_14-06-07,0.011432,428
2024-07-10_15-51-45,0.011423,278
2024-07-10_15-38-54,0.011395,442
2024-07-10_15-51-21,0.011398,318
2024-07-11_14-04-22,0.011401,530
2024-07-11_14-17-59,0.011393,334
2024-07-10_15-52-37,0.011389,284
2024-07-10_15-50-55,0.011402,313
2024-07-10_15-48-15,0.011426,316
2024-07-10_15-43-03,0.011446,310
2024-07-11_14-15-08,0.011391,392
2024-07-11_14-13-51,0.011396,435
2024-07-11_14-18-28,0.011414,373
2024-07-10_15-41-46,0.011393,396
2024-07-11_14-03-31,0.011396,486
2024-07-11_14-16-32,0.014224,422
2024-07-11_14-14-24,0.011394,402
2024-07-10_15-40-03,0.011576,505
2024-07-10_15-51-48,0.011394,305
