Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-16-32,1.24666,427
2024-07-11_14-14-24,0.010102,409
2024-07-10_15-40-03,0.010108,506
2024-07-10_15-51-48,0.010144,316
2024-07-10_15-52-36,0.010184,281
2024-07-10_15-43-56,0.0103,355
2024-07-11_14-12-14,0.010203,473
2024-07-11_14-19-12,0.01017,351
2024-07-10_15-44-58,0.01013,373
2024-07-11_14-02-35,0.010194,580
2024-07-11_14-10-53,0.010113,554
2024-07-10_15-40-53,0.010085,399
2024-07-10_15-54-07,0.010078,293
2024-07-11_14-13-12,0.010098,489
2024-07-11_14-05-35,0.010098,431
2024-07-11_14-17-18,0.010138,403
2024-07-10_15-53-12,0.010125,296
2024-07-11_14-06-07,0.010132,436
2024-07-10_15-51-45,0.010118,284
2024-07-10_15-38-54,0.010226,449
2024-07-10_15-51-21,0.010124,327
2024-07-11_14-04-22,0.010093,539
2024-07-11_14-17-59,0.01025,339
2024-07-10_15-52-37,0.010095,288
2024-07-10_15-50-55,0.010101,319
2024-07-10_15-48-15,0.010107,322
2024-07-10_15-43-03,0.010143,318
2024-07-11_14-15-08,0.010104,400
2024-07-11_14-13-51,0.010094,442
2024-07-11_14-18-28,0.010098,379
2024-07-10_15-41-46,0.01012,403
2024-07-11_14-03-31,0.010128,491

2024-07-11_14-16-32,0.014915,429
2024-07-11_14-14-24,0.010208,405
2024-07-10_15-40-03,0.010174,507
2024-07-10_15-51-48,0.010134,316
2024-07-10_15-52-36,0.010178,283
2024-07-10_15-43-56,0.010207,354
2024-07-11_14-12-14,0.010249,472
2024-07-11_14-19-12,0.010248,351
2024-07-10_15-44-58,0.010457,373
2024-07-11_14-02-35,0.010195,579
2024-07-11_14-10-53,0.010161,557
2024-07-10_15-40-53,0.010281,398
2024-07-10_15-54-07,0.010331,293
2024-07-11_14-13-12,0.010174,489
2024-07-11_14-05-35,0.010186,431
2024-07-11_14-17-18,0.010368,404
2024-07-10_15-53-12,0.010147,298
2024-07-11_14-06-07,0.010153,436
2024-07-10_15-51-45,0.010152,283
2024-07-10_15-38-54,0.010134,448
2024-07-10_15-51-21,0.010143,327
2024-07-11_14-04-22,0.010171,540
2024-07-11_14-17-59,0.010165,339
2024-07-10_15-52-37,0.010155,288
2024-07-10_15-50-55,0.010156,319
2024-07-10_15-48-15,0.010157,322
2024-07-10_15-43-03,0.010145,319
2024-07-11_14-15-08,0.010205,402
2024-07-11_14-13-51,0.010173,443
2024-07-11_14-18-28,0.010153,378
2024-07-10_15-41-46,0.010162,403
2024-07-11_14-03-31,0.010159,492
2024-07-11_14-16-32,0.015064,427
2024-07-11_14-14-24,0.010194,409
2024-07-10_15-40-03,0.010193,506
2024-07-10_15-51-48,0.010351,316
2024-07-10_15-52-36,0.010224,283
2024-07-10_15-43-56,0.010232,354
2024-07-11_14-12-14,0.010241,472
2024-07-11_14-19-12,0.010192,351
2024-07-10_15-44-58,0.010203,373
2024-07-11_14-02-35,0.010194,580
2024-07-11_14-10-53,0.010132,556
2024-07-10_15-40-53,0.010147,398
2024-07-10_15-54-07,0.010127,293
2024-07-11_14-13-12,0.010226,490
2024-07-11_14-05-35,0.010155,429
2024-07-11_14-17-18,0.010226,404
2024-07-10_15-53-12,0.010192,296
2024-07-11_14-06-07,0.010196,436
2024-07-10_15-51-45,0.010257,283
2024-07-10_15-38-54,0.01022,453
2024-07-10_15-51-21,0.010178,328
2024-07-11_14-04-22,0.01014,541
2024-07-11_14-17-59,0.010152,339
2024-07-10_15-52-37,0.010149,287
2024-07-10_15-50-55,0.010167,319
2024-07-10_15-48-15,0.010157,323
2024-07-10_15-43-03,0.010113,319
2024-07-11_14-15-08,0.010118,402
2024-07-11_14-13-51,0.010166,443
2024-07-11_14-18-28,0.010154,378
2024-07-10_15-41-46,0.010185,404
2024-07-11_14-03-31,0.010133,492
2024-07-11_14-16-32,0.014883,427
2024-07-11_14-14-24,0.010158,408
2024-07-10_15-40-03,0.010141,507
2024-07-10_15-51-48,0.010134,315
2024-07-10_15-52-36,0.010271,284
2024-07-10_15-43-56,0.010221,355
2024-07-11_14-12-14,0.010259,472
2024-07-11_14-19-12,0.010236,351
2024-07-10_15-44-58,0.010296,371
2024-07-11_14-02-35,0.010156,578
2024-07-11_14-10-53,0.010138,556
2024-07-10_15-40-53,0.010126,399
2024-07-10_15-54-07,0.010132,291
2024-07-11_14-13-12,0.01014,489
2024-07-11_14-05-35,0.01016,429
2024-07-11_14-17-18,0.010127,404
2024-07-10_15-53-12,0.010126,297
2024-07-11_14-06-07,0.010132,437
2024-07-10_15-51-45,0.010116,282
2024-07-10_15-38-54,0.010119,451
2024-07-10_15-51-21,0.010121,328
2024-07-11_14-04-22,0.010137,541
2024-07-11_14-17-59,0.010138,339
2024-07-10_15-52-37,0.010154,289
2024-07-10_15-50-55,0.010283,319
