Frame,Inference_Time_Seconds,Features_Count

1,0.020671,403
1,0.020367,291
1,0.020404,365
1,0.02039,422
1,0.020521,261
1,0.020586,282
1,0.020502,362
1,0.020017,544
1,0.020492,286
1,0.020788,327
1,0.020724,363
1,0.021164,344
1,0.020193,421
1,0.020704,237
1,0.02027,285
1,0.021128,264
1,0.021122,410
1,0.020894,375
1,0.020439,261
1,0.020316,387
1,0.020843,276
1,0.020675,370
1,0.020217,413
1,0.020534,352
1,0.020291,348
1,0.02094,318
1,0.021086,483
1,0.021151,271
1,0.021249,285
1,0.020727,383
1,0.020609,484

Average,0.020701,--
