Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-13-51,0.008697,423
# 平均 Inference_Time_Seconds: 0.008202
# 平均 Features_Count: 357.1
2024-07-10_15-38-54,0.008768,400
2024-07-10_15-50-55,0.008163,292
2024-07-11_14-15-08,0.008304,364
2024-07-11_14-12-14,0.008215,420
2024-07-10_15-52-36,0.008184,262
2024-07-10_15-51-48,0.008119,281
2024-07-11_14-17-18,0.008135,363
2024-07-11_14-10-53,0.008063,544
2024-07-10_15-51-21,0.008204,284
2024-07-11_14-19-12,0.008068,327
2024-07-11_14-18-28,0.008251,365
2024-07-11_14-17-59,0.008063,347
2024-07-11_14-03-31,0.008155,424
2024-07-10_15-54-07,0.008221,239
2024-07-10_15-43-56,0.008104,283
2024-07-10_15-52-37,0.008085,267
2024-07-11_14-16-32,0.008192,409
2024-07-10_15-41-46,0.008147,376
2024-07-10_15-43-03,0.008157,259
2024-07-10_15-40-03,0.008206,389
2024-07-10_15-51-45,0.008132,277
2024-07-10_15-40-53,0.008196,370
2024-07-11_14-13-12,0.008178,412
2024-07-11_14-06-07,0.008095,356
2024-07-11_14-14-24,0.008222,348
2024-07-10_15-44-58,0.008158,318
2024-07-11_14-02-35,0.008238,486
2024-07-10_15-53-12,0.008110,268
2024-07-10_15-48-15,0.008257,285
2024-07-11_14-05-35,0.008174,384
2024-07-11_14-04-22,0.008137,485
