Image_Name,Inference_Time_Seconds,Features_Count
2024-07-11_14-16-32,0.003225,436
2024-07-11_14-14-24,0.003245,412
2024-07-10_15-40-03,0.003302,511
2024-07-10_15-51-48,0.003206,315
2024-07-10_15-52-36,0.003205,282
2024-07-10_15-43-56,0.003209,363
2024-07-11_14-12-14,0.003262,475
2024-07-11_14-19-12,0.003217,356
2024-07-10_15-44-58,0.003215,369
2024-07-11_14-02-35,0.003259,578
2024-07-11_14-10-53,0.003270,555
2024-07-10_15-40-53,0.003222,399
2024-07-10_15-54-07,0.003225,298
2024-07-11_14-13-12,0.003261,486
2024-07-11_14-05-35,0.003269,433
2024-07-11_14-17-18,0.003214,408
2024-07-10_15-53-12,0.003205,297
2024-07-11_14-06-07,0.003205,435
2024-07-10_15-51-45,0.003207,284
2024-07-10_15-38-54,0.003232,452
2024-07-10_15-51-21,0.003262,325
2024-07-11_14-04-22,0.003251,538
2024-07-11_14-17-59,0.003203,340
2024-07-10_15-52-37,0.003228,288
2024-07-10_15-50-55,0.003207,322
2024-07-10_15-48-15,0.003196,322
2024-07-10_15-43-03,0.003218,318
2024-07-11_14-15-08,0.003217,402
2024-07-11_14-13-51,0.003235,431
2024-07-11_14-18-28,0.003216,378
2024-07-10_15-41-46,0.003218,406
2024-07-11_14-03-31,0.003231,488
