Image_Name,Image_Size,Is_Cubic,Euclidean_Error
2024-07-11_14-16-32,320*240,No,12.9044
2024-07-11_14-14-24,320*240,No,10.8514
2024-07-10_15-40-03,320*240,No,12.2816
2024-07-10_15-51-48,320*240,No,8.32846
2024-07-10_15-52-36,320*240,No,5.96941
2024-07-10_15-43-56,320*240,No,5.33108
2024-07-11_14-12-14,320*240,No,7.68907
2024-07-11_14-19-12,320*240,No,11.0646
2024-07-10_15-44-58,320*240,No,15.3724
2024-07-11_14-02-35,320*240,No,5.18588
2024-07-11_14-10-53,320*240,No,3.52204
2024-07-10_15-40-53,320*240,No,8.38466
2024-07-10_15-54-07,320*240,No,4.79571
2024-07-11_14-13-12,320*240,No,7.82872
2024-07-11_14-05-35,320*240,No,9.6761
2024-07-11_14-17-18,320*240,No,6.29261
2024-07-10_15-53-12,320*240,No,10.8009
2024-07-11_14-06-07,320*240,No,5.82258
2024-07-10_15-51-45,320*240,No,23.8083
2024-07-10_15-38-54,320*240,No,9.10612
2024-07-10_15-51-21,320*240,No,14.3489
2024-07-11_14-04-22,320*240,No,6.44522
2024-07-11_14-17-59,320*240,No,11.5289
2024-07-10_15-52-37,320*240,No,11.1681
2024-07-10_15-50-55,320*240,No,16.0529
2024-07-10_15-48-15,320*240,No,8.21375
2024-07-10_15-43-03,320*240,No,9.68805
2024-07-11_14-15-08,320*240,No,21.5385
2024-07-11_14-13-51,320*240,No,8.29417
2024-07-11_14-18-28,320*240,No,5.84553
2024-07-10_15-41-46,320*240,No,11.0047
2024-07-11_14-03-31,320*240,No,8.10667
