Image_Name,Feature_MSE_Error

2024-07-11_14-16-32,    7.10318
2024-07-11_14-14-24,    16.2253
2024-07-10_15-40-03,    4.85389
2024-07-10_15-51-48,    16.9714
2024-07-10_15-52-36,    4.43687
2024-07-10_15-43-56,    0.666253
2024-07-11_14-12-14,    29.4988
2024-07-11_14-19-12,    21.0285
2024-07-10_15-44-58,    11.3251
2024-07-11_14-02-35,    5.39422
2024-07-11_14-10-53,    3.59027
2024-07-10_15-40-53,    3.70701
2024-07-10_15-54-07,    10.4342
2024-07-11_14-13-12,    9.72905
2024-07-11_14-05-35,    11.6125
2024-07-11_14-17-18,    5.75218
2024-07-10_15-53-12,    11.159
2024-07-11_14-06-07,    8.35317
2024-07-10_15-51-45,    13.35
2024-07-10_15-38-54,    18.8829
2024-07-10_15-51-21,    4.91329
2024-07-11_14-04-22,    8.75619
2024-07-11_14-17-59,    2.47062
2024-07-10_15-52-37,    5.2441
2024-07-10_15-50-55,    3.80613
2024-07-10_15-48-15,    10.4795
2024-07-10_15-43-03,    13.8518
2024-07-11_14-15-08,    12.5953
2024-07-11_14-13-51,    5.28678
2024-07-11_14-18-28,    5.35649
2024-07-10_15-41-46,    1.28131
2024-07-11_14-03-31,    3.55553
